,hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag
8359,K2-154,M0.0 V,3978.0,0.65,-1.018,129.356,15.435,13.861
8771,K2-216,K5 V,4503.0,0.72,-0.721,115.461,13.563,12.403
8857,K2-233,K3,4950.0,0.74,-0.523,67.5062,11.813,10.883
8870,K2-239,M3.0 V,3420.0,0.36,-1.796,31.0849,16.206,14.632
8872,K2-24,G3,5743.0,1.21,0.158,170.562,12.22,11.275
8884,K2-240,M0.5 V,3810.0,0.54,-1.276,72.9105,14.821,13.372
8916,K2-25,M4.5,3180.0,0.29,-2.076,44.9565,17.76,16.21
8953,K2-26,M1.0 V,3785.0,0.52,-1.31,99.0504,15.968,14.528
8972,K2-263,G9 V,5368.0,0.85,-0.26,162.481,12.348,11.568
8976,K2-264,M2.5 V,3580.0,0.47,-1.481,185.605,18.735,16.701
9157,K2-286,M0 V,3926.0,0.62,-1.046,76.1486,14.088,12.881
9165,K2-288 A,M2 V,3584.0,0.45,-1.49,96.98398,15.403,13.971
9175,K2-29,K1 V,5222.0,0.75,-0.427,178.475,13.484,12.532
9224,K2-3,M V,3844.0,0.55,-1.231,44.0727,13.527,12.168
9227,K2-30,G8 V,5581.0,0.94,-0.112,333.042,14.506,13.547
9249,K2-315,M(3.5+/-0.5) V,3300.0,0.2,-2.387,56.9686,18.656,17.67
9304,K2-33,M3.3,3540.0,1.05,-0.824,139.268,17.353,15.838
9362,K2-34,F,6149.0,1.58,0.484,348.646,12.019,11.447
9539,K2-38,G2 V,5731.0,1.06,0.037,192.69,12.344,11.344
9680,K2-415,M5 V,3173.0,0.2,-2.455,21.8182,17.065,15.33
9681,K2-416,M V,3746.0,0.55,-1.27,120.311,16.265,14.794
9683,K2-417,M V,3861.0,0.58,-1.202,94.0424,15.331,13.909
10045,KELT-10,G0 V,5948.0,1.21,0.217,188.404,11.337,10.617
10072,KELT-16,F7 V,6236.0,1.36,0.401,444.586,12.281,11.717
10075,KELT-17,A,7454.0,1.65,0.876,226.5,9.533,9.234
10081,KELT-18,F4 V,6670.0,1.91,0.813,321.376,10.62,10.16
10087,KELT-19 A,A8 V,7500.0,1.83,0.978,300.276,10.205,9.857
10103,KELT-20,A2 V,8720.0,1.56,1.104,136.426,7.669,7.59
10106,KELT-21,A8 V,7598.0,1.64,0.905,470.878,10.763,10.484
10108,KELT-23 A,G2 V,5899.0,1.0,0.034,126.261,10.902,10.308
10131,KELT-4 A,F,6206.0,1.6,0.535,218.05,10.499,9.98
10137,KELT-6,F8,6102.0,1.58,0.493,240.726,10.763,10.371
10144,KELT-7,F,6789.0,1.73,0.758,136.681,8.997,8.56
10155,KELT-9,B9.5-A0,10170.0,2.36,1.724,204.455,7.587,7.55
10674,KOI-55,B,27730.0,0.2,1.36,1231.02,14.837,15.154
10756,Kapteyn,M2.0V,3819.0,0.25,-2.0,3.93305,10.329,8.86
18945,Kepler-1513,G V,5491.0,0.95,-0.129,349.247,14.083,13.071
20831,Kepler-1654,G5 V,5597.0,1.18,0.09,568.117,14.332,13.497
21048,Kepler-167,K4,4890.0,0.73,-0.57,341.908,15.108,14.284
23578,Kepler-186,M1,3788.0,0.47,-1.385,177.594,16.867,15.138
25792,Kepler-22,G5 V,5518.0,0.98,-0.102,194.642,12.597,11.751
31326,Kepler-42,M,3068.0,0.17,-2.62,40.0595,18.121,16.7
31347,Kepler-421,G9/K0,5308.0,0.76,-0.398,348.558,14.289,13.611
31413,Kepler-425,K1 V,5170.0,0.86,-0.323,646.647,16.047,14.845
31427,Kepler-426,G1 V,5725.0,0.92,-0.089,843.695,15.736,15.032
31439,Kepler-427,G2 V,5800.0,1.35,0.29,1017.8,15.13,14.301
31452,Kepler-428,K1 V,5150.0,0.8,-0.39,686.284,16.584,15.362
34682,Kepler-62,K2 V,4925.0,0.64,-0.678,300.874,15.027,13.965
35781,Kepler-69,G4 V,5638.0,0.93,-0.097,730.625,14.655,13.866
37549,Kepler-80,K5,4540.0,0.68,-0.77,369.451,16.303,15.23
39311,Kepler-91,K3,4550.0,6.3,1.225,1294.69,14.097,12.712
40727,L 168-9,M2,3743.0,0.68,-1.097,25.1496,12.46,11.005
40733,L 98-59,M3 V,3415.0,0.3,-1.948,10.6194,13.218,11.685
40744,LHS 1140,M4.5 V,3131.0,0.19,-2.526,14.9861,15.881,14.15
40750,LHS 1478,m3 V,3381.0,0.25,-2.146,18.2276,14.971,13.304
40760,LHS 1815,M1,3643.0,0.5,-1.387,29.8424,13.585,12.167
40769,LHS 3844,M5,3036.0,0.19,-2.565,14.8846,16.942,15.24
40776,LP 714-47,M0.0 V,3950.0,0.58,-1.125,52.616,13.933,12.492
40790,LSPM J2116+0234,M3.0 V,3475.0,0.43,-1.699,17.6297,13.441,11.961
40799,LTT 1445 A,M2.5V,3697.0,0.24,-2.0,6.86929,12.304,10.59
40804,LTT 3780,M3.5 V,3360.0,0.38,-1.777,21.9814,14.678,13.14
40812,LTT 9779,G7 V,5443.0,0.95,-0.149,80.4373,10.584,9.79
40829,MASCARA-1,A8,7554.0,2.1,1.176,182.273,8.45,8.28
40833,MASCARA-4,A7 V,7800.0,1.92,1.087,170.696,8.398,8.191
40995,NGTS-23,F9 V,6057.0,1.24,0.283,1074.95,14.572,14.126
40999,NGTS-24,G2 IV,5820.0,1.64,0.446,683.062,13.97,13.214
41001,NGTS-25,K0 V,5321.0,0.86,-0.292,521.233,15.137,14.333
41404,PDS 70,K7,3972.0,1.26,-0.456,113.064,13.494,12.032
41478,Qatar-10,F7 V,6124.0,1.25,0.3,559.068,13.437,12.868
41495,Qatar-3,G0 V,6007.0,1.27,0.279,735.601,13.517,12.929
41498,Qatar-4,K1 V,5215.0,0.85,-0.318,329.036,14.559,13.574
41503,Qatar-5,G2 V,5747.0,1.08,0.056,367.658,13.432,12.614
41507,Qatar-6,K2 V,5052.0,0.72,-0.514,100.848,12.832,11.496
41512,Qatar-7,F4 V,6387.0,1.56,0.563,705.981,13.695,13.134
41516,Qatar-8,G0 V,5738.0,1.31,0.228,281.498,12.244,11.71
41520,Qatar-9,K5 V,4309.0,0.7,-0.821,213.771,15.515,14.023
41551,Ross 458,M2,3621.0,0.63,-1.222,11.5094,11.081,9.76
41569,TIC 139270665,G2,5844.0,1.02,0.032,189.875,10.918,10.385
41586,TIC 237913194,G3,5788.0,1.09,0.078,306.063,12.746,12.144
41609,TOI-1107,F6 V,6311.0,1.81,0.671,281.314,11.038,10.553
41616,TOI-1130,K7,4250.0,0.69,-0.854,58.2609,12.422,11.595
41618,TOI-1135,G0,6122.0,1.16,0.231,114.048,10.134,9.54
41637,TOI-393,M2.5 V,3437.0,0.46,-1.571,37.8932,14.094,12.659
41638,TOI-1201,M2.0 V,3476.0,0.51,-1.469,37.8871,13.764,12.26
41641,TOI-122,M3 V,3403.0,0.33,-1.854,62.118,17.061,15.526
41649,TOI-1227,M4.5V-M5V,3072.0,0.56,-2.6,100.641,18.473,16.999
41653,TOI-1231,M3 V,3553.0,0.48,-1.487,27.6227,13.74,12.36
41657,TOI-1235,M0.5 V,3997.0,0.62,-1.054,39.6345,13.291,11.495
41667,TOI-125,K0 V,5282.0,0.85,-0.293,111.059,11.722,11.023
41676,TOI-1260,K6 V,4227.0,0.65,-0.857,73.5977,13.341,11.922
41683,TOI-1266,M3 V,3618.0,0.44,-1.538,36.0118,14.578,12.941
41701,TOI-1278,M0 V,3799.0,0.57,-1.212,75.5759,14.971,13.502
41707,TOI-1288,G V,5225.0,1.01,-0.167,114.865,11.383,10.445
41716,TOI-132,G8 V,5397.0,0.9,-0.222,163.678,12.067,11.197
41738,TOI-1386,G5V,5793.0,1.01,0.017,146.858,11.337,10.61
41755,TOI-1422,G2 V,5840.0,1.02,0.048,155.141,11.312,10.622
41757,TOI-1431,Am C,7690.0,1.92,1.068,148.925,8.306,8.03
41767,TOI-1760,M4.5 &#177 0.5 V,3060.0,0.25,-2.292,30.5373,15.763,13.99
41769,TOI-1452,M4 &#177 0.5 V,3185.0,0.28,-2.155,30.5212,15.944,14.354
41777,TOI-1468,M3.0 V,3496.0,0.34,-1.797,24.7399,14.63,12.5
41780,TOI-1470,M1.5 V,3709.0,0.47,-1.425,51.9503,14.862,13.459
41786,TOI-150,F,6255.0,1.53,0.497,336.267,12.173,11.39
41800,TOI-157,G9 IV,5404.0,1.17,0.02,355.683,13.45,12.725
41808,TOI-163,F,6495.0,1.65,0.636,411.719,11.852,11.467
41809,TOI-1634,M2,3550.0,0.45,-1.539,35.2736,14.755,13.217
41826,TOI-1685,M3.0 V,3434.0,0.49,-1.519,37.6153,14.879,13.378
41829,TOI-169,G1 V,5880.0,1.29,0.253,407.84,13.057,12.355
41840,TOI-1695,M1 V,3690.0,0.52,-1.354,45.1309,14.353,12.989
41845,TOI-1696,M5V,3185.0,0.28,-2.148,64.9172,18.467,16.82
41850,TOI-1710,G5 V,5730.0,0.95,-0.048,81.2271,10.203,9.545
41858,TOI-1728,M0,3980.0,0.62,-1.056,60.798,13.688,12.39
41877,TOI-1759,M0.0 V,4065.0,0.6,-1.057,40.0654,13.689,11.93
41879,TOI-178,K,4316.0,0.65,-0.879,62.699,13.056,11.955
41885,TOI-1789,F,5991.0,2.17,0.736,229.067,10.299,9.721
41892,TOI-1801,M0.5+/-0.5 V,3863.0,0.55,-1.23,30.6796,13.02,11.58
41899,TOI-181,K,4994.0,0.74,-0.526,96.2338,12.235,11.191
41910,TOI-1853,K2.5 V,4985.0,0.81,-0.432,165.105,12.873,12.178
41934,TOI-199,G9 V,5255.0,0.82,-0.338,102.27,11.592,10.701
41947,TOI-201,F6 V,6394.0,1.32,0.415,113.825,9.595,9.07
41951,TOI-2010,F0,5929.0,1.08,0.114,109.19,10.479,9.849
41955,TOI-2018,K7,4239.0,0.58,-1.0,27.9956,11.426,10.25
41964,TOI-2048,G V,5185.0,0.79,-0.387,116.567,12.324,11.431
41974,TOI-2076,K,5187.0,0.76,-0.423,41.9091,10.032,9.139
41979,TOI-2081,M1.0,3800.0,0.53,-1.338,62.3446,14.87,13.369
41985,TOI-2084,M2+/-0.5,3551.0,0.47,-1.492,114.549,16.668,15.115
41987,TOI-2095,M0.5-1.0 V,3662.0,0.45,-1.478,41.9176,14.364,13.19
41994,TOI-2096,M4,3300.0,0.23,-2.228,48.4809,17.855,15.92
41997,TOI-2109,F,6540.0,1.7,0.673,262.041,10.648,10.217
41999,TOI-2134,K5 V,4580.0,0.71,-0.717,22.6202,10.125,8.933
42016,TOI-2152,F4 V,6630.0,1.61,0.653,303.006,12.314,11.436
42032,TOI-2180,G5,5695.0,1.64,0.406,116.685,9.847,9.162
42045,TOI-2196,G V,5634.0,1.04,-0.004,259.947,13.014,12.297
42049,TOI-2202,K8 V,5144.0,0.79,-0.401,235.933,13.902,13.004
42082,TOI-237,M4.5 V,3212.0,0.21,-2.387,38.0749,17.718,16.37
42089,TOI-238,K2V,5059.0,0.73,-0.471,80.5407,11.667,10.748
42105,TOI-244,M2.5 V,3433.0,0.43,-1.643,22.0337,14.21,12.861
42131,TOI-2525,K8 V,5096.0,0.79,-0.44,395.398,15.262,14.216
42160,TOI-2641,F9 V,6100.0,1.34,0.34,344.045,12.023,11.693
42169,TOI-270,M,3506.0,0.38,-1.712,22.4793,14.194,12.603
42201,TOI-3235,M V,3388.8,0.37,-1.79,72.811,16.887,15.16
42239,TOI-3757,M0 V,3913.0,0.62,-1.06,181.139,16.228,14.812
42243,TOI-3785,M2 V,3576.0,0.5,-1.435,79.7634,16.185,14.595
42250,TOI-3884,M4,3269.0,0.3,-2.032,43.1448,17.462,15.744
42273,TOI-4127,F V,6096.0,1.29,0.316,319.632,12.02,11.441
42289,TOI-4201,M1.0+/-0.5,3794.0,0.63,-1.119,189.011,16.696,15.163
42309,TOI-4336 C,M4.0+/-0.5,3150.0,0.22,-2.276,22.48,16.385,14.712
42313,TIC 166184426,M3.5+/-0.5,3255.0,0.32,-1.991,22.4731,14.51,12.911
42319,TOI-4342,M0 V,3901.0,0.6,-1.127,61.5204,14.055,12.669
42327,TOI-4438,M3.5 V,3422.0,0.37,-1.768,30.0346,15.22,13.69
42350,TOI-4515,G8/G9,5433.0,0.86,-0.236,193.499,12.867,11.938
42364,TOI-4600,K V,5170.0,0.81,-0.377,216.056,13.487,12.577
42367,TOI-4603,F,6264.0,2.74,1.017,225.643,9.827,9.24
42385,TOI-481,G,5735.0,1.66,0.435,179.366,10.755,9.972
42396,TOI-5126,F V,6150.0,1.24,0.299,160.414,10.693,10.141
42408,TOI-519,M V,3322.0,0.35,-1.851,115.557,17.869,17.35
42410,TOI-5205,M4.0,3430.0,0.39,-1.712,86.4493,16.63,15.899
42420,TOI-530,M0.5 V,3659.0,0.54,-1.31,148.762,16.708,15.403
42435,TOI-540,M V,3216.0,0.19,-2.461,14.0022,15.96,14.823
42442,TOI-5542,G3 V,5700.0,1.06,1.057,348.849,12.918,12.42
42446,TOI-558,F V,6466.0,1.5,0.547,402.63,11.9,11.233
42450,TOI-559,G V,5925.0,1.23,0.227,233.266,11.669,11.091
42457,TOI-561,G9 V,5372.0,0.84,-0.273,85.799,10.965,10.252
42476,TOI-615,F2 V,6850.0,1.73,0.768,360.408,11.111,10.825
42478,TOI-620,M2.5 V,3708.0,0.55,-1.288,33.0231,13.688,12.262
42481,TOI-622,F6 V,6400.0,1.42,0.474,123.297,9.472,8.995
42496,TOI-674,M2 V,3514.0,0.42,-1.614,46.0851,15.742,14.203
42502,TOI-700,M2 V,3480.0,0.42,-1.633,31.1265,14.55,13.151
42515,TOI-712,K4.5 V,4622.0,0.67,-0.728,58.6212,12.103,10.838
42522,TOI-733,G,5585.0,0.95,-0.086,75.2092,10.178,9.44
42534,TOI-776,M1 V,3709.0,0.54,-1.31,27.1701,13.041,11.536
42537,TOI-778,F3 V,6643.0,1.71,0.76,161.743,9.507,9.109
42550,TOI-824,K4 V,4600.0,0.69,-0.71,63.9262,12.101,11.314
42570,TOI-858 A,F9,5907.0,1.37,0.317,255.795,11.66,11.066
42577,TOI-892,F,6261.0,1.39,0.431,340.543,11.996,11.43
42594,TOI-942,K2.5 V,4969.0,0.89,-0.359,152.601,12.783,11.982
42625,TYC 2187-512-1,M1.0 V,3734.0,0.49,-1.381,15.4744,12.366,10.58
42753,V1298 Tau,K1,5050.0,1.28,-0.02,108.199,11.114,10.115
42810,WASP-103,F8 V,6110.0,1.44,0.413,375.647,12.979,12.402
42897,WASP-121,F6 V,6459.0,1.46,0.519,269.898,10.997,10.514
42952,WASP-132,K4,4714.0,0.75,-0.597,122.91,13.142,11.938
43144,WASP-173 A,G2,5767.0,1.1,0.083,232.98,12.561,11.15
43247,WASP-193,F9,6078.0,1.24,0.274,362.087,12.667,11.972
43482,WASP-44,G8 V,5420.0,0.91,-0.198,364.512,13.823,13.096
43658,WASP-64,G7,5400.0,1.06,-0.022,369.926,13.411,12.704
43683,WASP-68,G0,5911.0,1.69,0.505,226.399,11.342,10.674
43725,WASP-72,F7,6250.0,1.98,0.724,434.754,11.514,10.868
43729,WASP-73,F9,6036.0,2.07,0.716,316.678,10.984,10.468
43944,Wolf 1061,M3.5V,3268.0,0.34,-2.0,4.30592,11.86,10.1
43952,Wolf 1069,M5.0 V,3158.0,0.18,-2.531,9.58341,15.817,13.993
43954,Wolf 327,M2.5 V,3542.0,0.41,-1.63,28.5321,14.586,13.018
43957,Wolf 503,K3.5 V,4716.0,0.69,-0.676,44.526,11.276,10.27
44027,XO-5,G8 V,5470.0,1.08,-0.06,276.211,12.899,12.198
44040,YSES 2,K1 V,4749.0,1.19,-0.185,109.406,11.767,10.885
44050,alf Ari,K2III,4504.0,15.21,1.934,20.21019,3.156,2.00538
44067,Proxima Cen,M5.5 V,3050.0,0.14,-2.81,1.30119,12.782,11.01
44095,alf Tau,K5III,3889.0,47.7,2.672,20.4332,0.375,0.872
44102,bet Cnc,K4 III,4092.1,47.2,2.9,89.0472,5.001,3.51012
44113,bet Pic,A5V,8052.0,1.55,0.958,19.7442,4.013,3.85
44120,bet UMi,K4 III,4126.0,38.3,2.73,38.77472,3.527,2.0569
44136,eps Eri,K2.0V,5146.0,0.77,-0.456,3.2026,4.616,3.71548
44165,eps Ind A,K4V,4683.0,0.72,-0.638,3.63857,5.761,4.69
44178,eps Tau,K0 III,4877.0,12.35,1.893,47.52852,4.54,3.523
44187,gam Cep,K1IV,4761.0,5.05,1.073,14.1024,4.247,3.23006
44212,gam Lib,K0 III,4822.0,11.1,1.85,47.4017,4.907,3.90672
44217,gam Psc,G7 III,4742.0,11.2,1.766,41.3107,4.611,3.69252
44219,iot Dra,K2 III,4504.0,11.79,1.722,31.32832,4.467,3.29668
44241,kap CrB,K0 III-IV,4840.0,4.68,1.036,30.0651,5.805,4.79734
44251,mu Leo,K2 III,4538.2,11.4,1.797,32.6081,5.121,3.86648
44253,nu Oct A,K1 IIIb-IV,4860.0,5.81,1.23,21.1999,4.746,3.73
44261,nu Oph,K0 III,4887.0,12.24,1.895,46.2107,4.314,3.31216
44270,ome Ser,G8 III,4770.0,12.3,1.85,76.7556,6.237,5.21644
44281,omi CrB,K0 III,4769.0,11.87,1.822,84.7883,7.399,5.5052
44283,omi UMa,G4 II-III,5075.0,13.84,2.063,54.9149,4.194,3.35214
44292,psi1 Dra B,G0V,6159.0,1.3,0.34,22.7188,6.339,5.808
44306,rho CrB,G2V,5823.0,1.35,0.262,17.4671,6.001,5.40816
44359,tau Boo,F7V,6387.0,1.46,0.525,15.6521,4.966,4.48635
44413,ups And,F8V,6213.0,1.64,0.561,13.4054,4.625,4.09565
44426,ups Leo,G9 III,4836.0,11.22,1.8,52.5973,5.296,4.3049
44434,xi Aql,K0 III,4841.0,10.86,1.767,56.1858,5.761,4.70964
