,Star,Apparent,Distance,Spectral
0,Sun,−26.74,0.000016,G2V
1,Proxima Centauri,10.43 to 11.11[4],4.244,M5.5Ve[5]
2,Lalande 21185,7.520[9],8.3044±0.0007,M2V
3,Lacaille 9352,7.34,10.721,M0.5V
4,Luyten's Star,9.872,11.2,M3.5V
5,YZ Ceti,12.07,11.74,M4.5V
6,Gliese 1061,13.03,12.04,M5.5V
7,Teegarden's Star,15.13,12.497,M7V
8,Wolf 1061,10.07,14.050 ± 0.002,M3.5V
9,Gliese 876,10.17,15.25,M4V
10,82 G. Eridani,4.254,19.71,G8V
11,Gliese 581,10.56,20.56,M3V
12,Gliese 667 C,10.2,21,M1.5V
13,HD 219134,5.57,21,K3Vvar
14,61 Virginis,4.74,28,G5V
15,Gliese 433,9.79,29.8±0.1,M1.5V
16,Gliese 357,10.906,30.776,M2.5V
17,L 98-59,11.69,34.6,M3V
18,Gliese 414 A,8.31,38.76,K7V
19,Gliese 806,10.79,39.3,M1.5V
20,TRAPPIST-1,18.8,39.5,M8V
21,55 Cancri,5.95,40,K0IV-V
22,Gliese 180,10.894,40.3,M2V[40] or M3V[41]
23,HD 69830,5.95,41,K0V
24,HD 40307,7.17,42,K2.5V
25,Upsilon Andromedae,4.09,44,F8V
26,47 Ursae Majoris,5.1,46,G0V
27,Nu2 Lupi,5.65,47,G2V
28,LHS 1140,14.18,48.9,M4.5V[52]
29,Gliese 163,11.8,49,M3.5V
30,Mu Arae,5.15,51,G3IV-V
31,GJ 3929,12.67,51.58,M3.5V
32,Gliese 676 A,9.59,53,M0V
33,HD 7924,7.19,55,K0V
34,Pi Mensae,5.65,59.62±0.07,G0V
35,Gliese 3293,11.96,59,M2.5V
36,LHS 1678,12,64.8,M2V
37,HD 142,5.7,67,G1 IV
38,HD 215152,8.13,70,G8IV
39,HD 164922,7.01,72,G9V[64]
40,HD 63433,6.92,73,G5V
41,HIP 57274,8.96,85,K5V
42,HD 39194,8.08,86.2,K0V
43,LP 791-18,16.9,86.9,M6V/M7V
44,HD 181433,8.38,87,K5V
45,HD 134606,6.85,87,G6IV
46,HD 158259,6.46,89,G0
47,HD 82943,6.54,90,F9V Fe+0.5[68]
49,GJ 9827,10.1,96.8±0.2,K6V
50,K2-239,14.5,101.5,M3V
51,TOI-700,13.1,101.61,M2V
52,HD 17926,6.38,105,F6V
53,HD 37124,7.68,110,G4V
54,HD 20781,8.44,115,G9.5V
55,Kepler-444,9,117,K0V
56,HD 141399,7.2,118,K0V
57,Kepler-42,16.12,126,M5V[80]
58,HD 31527,7.48,126,G0V
59,HD 10180,7.33,127,G1V
60,HD 23472,9.72,127.48,K3.5V
61,HR 8799,5.96,129,A5V
62,HD 27894,9.42,138,K2V
63,HD 93385,7.486,141.6,G2V
64,K2-3,12.168,143.9±0.4,M0V
65,HD 34445,7.31,152,G0V
66,HD 204313,7.99,154,G5V
67,HD 3167,8.97,154.4,K0V
69,HD 133131,8.4,168,G2V+G2V[84]
70,K2-136 [ru],11.2,173,K5V
71,HIP 14810,8.51,174,G5V
72,HD 191939,8.971,175,G9V
73,HD 125612,8.33,177,G3V
74,HD 184010,5.9,200,KOIII-IV
75,HD 109271,8.05,202,G5
76,HD 38677,8,202,F8V
77,TOI-178,11.95,205.16,K7V[86]
78,HD 108236,9.24,211,G3V
79,Kepler-37,9.77,215,G8V
80,K2-72,15.04,217,M2V
81,Kepler-138,13.5,218.5,M1V
82,K2-233,10,221,K3
86,K2-155,12.8,267,K7
87,K2-384,16.12,270,M?V
89,TOI-561,10.252,279,G9V
92,K2-229,10.985,335,K2V
93,Kepler-102,11.492,340,K3V[88]
94,V1298 Tauri,10.31,354,K0-1.5[89]
98,HIP 41378,8.9,378,F8
99,Kepler-446,16.5,391,M4V
101,K2-148,13.05,407,K7V
102,Kepler-68,8.588,440,G1V
104,COROT-7,11.73,489,K0V
105,XO-2,11.18,496±3,K0V+K0V
106,Kepler-411,12.5,499.4,K3V
107,K2-381,13.01,505,K2
108,K2-285,12.03,508,K2V
109,K2-32,12.31,510,G9V
111,K2-352,11.12,577,G2V
113,Kepler-186,15.29[101],579.23[102],M1V[103]
114,K2-37,12.52,590,G3V
115,K2-58,12.13,596,K2V
116,K2-138,12.21,597±55,K1V
117,K2-38,11.34,630,G3V
118,WASP-47,11.9,652,G9V
119,K2-368,13.54,674,K3
120,HAT-P-13,10.62,698,G4
121,Kepler-19,15.178,717,G
122,Kepler-296,12.6,737.113,K7V + M1V[110]
123,Kepler-454,11.57,753,G
124,Kepler-25,11,799,F[112]
125,Kepler-114,13.7,846,K
126,Kepler-54,16.3,886,M
127,Kepler-20,12.51,950,G8V
128,K2-19,13.002,976,K0V[116] or G9V[117]
129,PSR B1257+12,24.31,980,pulsar
130,Kepler-62,13.75[120],990,K2V[120]
131,Kepler-48,13.04,1000,K
133,Kepler-49,15.5,1015,K
134,Kepler-65,11.018,1019,F6IV
135,Kepler-52,15.5,1049,K
136,K2-314,11.4,1059,G8IV/V
137,K2-219,12.09,1071,G2
140,K2-187,12.864,1090,G?V
142,Kepler-26,16,1100,M0V
144,Kepler-81,15.56,1136,K?V
146,Kepler-80,14.804,1218,M0V[125]
149,Kepler-88,13.5,1243,G8IV
151,Kepler-32,16,1301.1,M1V
152,Kepler-83,16.51,1306,K7V
153,TOI-1338,11.72,1318,"F8 
M"
155,Kepler-169,12.186,1326,K2V
158,Kepler-18,13.549,1430,G7V
159,Kepler-106,12.882,1449,G1V
160,Kepler-92,11.6,1463,G1IV
161,Kepler-450,11.684,1487,F
162,Kepler-89,12.4,1580,F8V
164,K2-282,14.04,1638,G?V
165,Kepler-107,12.7,1714,G2V[131]
167,Kepler-55,16.3,1888,K
169,Kepler-11,13.69,2150 ±20,G6V[132]
171,Kepler-289,12.9,2283,G0V
172,Kepler-85,15,2495,G
176,Kepler-51,15,2610,G?V
178,Kepler-9,13.91,2754,G2V
179,Kepler-23,14,2790,G5V
180,Kepler-46,15.3,2795,K?V
181,Kepler-305,15.812,2833,K
182,Kepler-90,14,2840 ± 40,G0V
184,Kepler-82,15.158,2949,G?V
186,Kepler-56,13,3060,K?III
187,Kepler-350,13.8,3121,F
189,Kepler-160,13.101,3140,G2V
191,Kepler-58,15.3,3161,G1V
192,Kepler-79,13.914,3329,F
193,Kepler-60,13.959,3343,G
195,Kepler-279,13.7,3383,F
197,Kepler-47,15.178,3442,"G 
M"
198,Kepler-292,13.97,3446,K0V
199,Kepler-27,15.855,3500,G5V
201,Kepler-276,15.368,3734,G?V
202,Kepler-24,14.925,3910,G1V
203,Kepler-87,15,4021,G4IV
204,Kepler-33,13.988,4090,G1IV
205,Kepler-282,15.2,4363,G?V
207,Kepler-53,16,4455,G?V
208,Kepler-30,15.403,4560,G6V
209,Kepler-84,14.764,4700,G3IV
210,Kepler-385,15.76,4900,F8V
211,Kepler-31,15.5,5429,F
212,Kepler-238,15.084,5867,G5IV
