,Star,Apparent,Distance,Spectral,Absolute
3,Lacaille 9352,7.34,10.721,M0.5V,9.755956
4,Luyten's Star,9.872,11.2,M3.5V,12.193042
5,YZ Ceti,12.07,11.74,M4.5V,14.288792
6,Gliese 1061,13.03,12.04,M5.5V,15.193999
7,Teegarden's Star,15.13,12.497,M7V,17.213104
9,Gliese 876,10.17,15.25,M4V,11.820784
10,82 G. Eridani,4.254,19.71,G8V,5.347699
11,Gliese 581,10.56,20.56,M3V,11.562017
12,Gliese 667 C,10.2,21.0,M1.5V,11.156035
13,HD 219134,5.57,21.0,K3Vvar,6.526036
14,61 Virginis,4.74,28.0,G5V,5.071342
16,Gliese 357,10.906,30.776,M2.5V,11.032071
17,L 98-59,11.69,34.6,M3V,11.561751
18,Gliese 414 A,8.31,38.76,K7V,7.935214
19,Gliese 806,10.79,39.3,M1.5V,10.38517
20,TRAPPIST-1,18.8,39.5,M8V,18.384146
21,55 Cancri,5.95,40.0,K0IV-V,5.506832
22,Gliese 180,10.894,40.3,M2V[40] or M3V[41],10.434607
23,HD 69830,5.95,41.0,K0V,5.4532127
24,HD 40307,7.17,42.0,K2.5V,6.620886
25,Upsilon Andromedae,4.09,44.0,F8V,3.439869
26,47 Ursae Majoris,5.1,46.0,G0V,4.353343
27,Nu2 Lupi,5.65,47.0,G2V,4.856643
28,LHS 1140,14.18,48.9,M4.5V[52],13.300589
29,Gliese 163,11.8,49.0,M3.5V,10.916152
30,Mu Arae,5.15,51.0,G3IV-V,4.179281
31,GJ 3929,12.67,51.58,M3.5V,11.674726
32,Gliese 676 A,9.59,53.0,M0V,8.535753
33,HD 7924,7.19,55.0,K0V,6.055319
35,Gliese 3293,11.96,59.0,M2.5V,10.672873
36,LHS 1678,12.0,64.8,M2V,10.509257
37,HD 142,5.7,67.0,G1 IV,4.136758
38,HD 215152,8.13,70.0,G8IV,6.4716425
39,HD 164922,7.01,72.0,G9V[64],5.29047
40,HD 63433,6.92,73.0,G5V,5.170518
41,HIP 57274,8.96,85.0,K5V,6.8800373
42,HD 39194,8.08,86.2,K0V,5.969596
43,LP 791-18,16.9,86.9,M6V/M7V,14.772033
44,HD 181433,8.38,87.0,K5V,6.249536
45,HD 134606,6.85,87.0,G6IV,4.719536
46,HD 158259,6.46,89.0,G0,4.280182
47,HD 82943,6.54,90.0,F9V Fe+0.5[68],4.33592
50,K2-239,14.5,101.5,M3V,12.0348015
51,TOI-700,13.1,101.61,M2V,10.63245
52,HD 17926,6.38,105.0,F6V,3.8411858
53,HD 37124,7.68,110.0,G4V,5.040169
54,HD 20781,8.44,115.0,G9.5V,5.703643
55,Kepler-444,9.0,117.0,K0V,6.226203
56,HD 141399,7.2,118.0,K0V,4.407722
57,Kepler-42,16.12,126.0,M5V[80],13.18528
58,HD 31527,7.48,126.0,G0V,4.5452795
59,HD 10180,7.33,127.0,G1V,4.3781133
60,HD 23472,9.72,127.48,K3.5V,6.759922
61,HR 8799,5.96,129.0,A5V,2.9741836
62,HD 27894,9.42,138.0,K2V,6.287737
63,HD 93385,7.486,141.6,G2V,4.297816
65,HD 34445,7.31,152.0,G0V,3.967914
66,HD 204313,7.99,154.0,G5V,4.6195283
67,HD 3167,8.97,154.4,K0V,5.593896
69,HD 133131,8.4,168.0,G2V+G2V[84],4.8405857
70,K2-136 [ru],11.2,173.0,K5V,7.5769014
71,HIP 14810,8.51,174.0,G5V,4.8743863
72,HD 191939,8.971,175.0,G9V,5.322942
73,HD 125612,8.33,177.0,G3V,4.657266
74,HD 184010,5.9,200.0,KOIII-IV,1.9619823
75,HD 109271,8.05,202.0,G5,4.090376
76,HD 38677,8.0,202.0,F8V,4.0403757
77,TOI-178,11.95,205.16,K7V[86],7.956669
78,HD 108236,9.24,211.0,G3V,5.1857195
79,Kepler-37,9.77,215.0,G8V,5.67494
80,K2-72,15.04,217.0,M2V,10.924833
81,Kepler-138,13.5,218.5,M1V,9.369875
82,K2-233,10.0,221.0,K3,5.845171
86,K2-155,12.8,267.0,K7,8.234575
87,K2-384,16.12,270.0,M?V,11.5303135
89,TOI-561,10.252,279.0,G9V,5.591111
92,K2-229,10.985,335.0,K2V,5.9269075
93,Kepler-102,11.492,340.0,K3V[88],6.401737
94,V1298 Tauri,10.31,354.0,K0-1.5[89],5.1321163
98,HIP 41378,8.9,378.0,F8,3.5796728
99,Kepler-446,16.5,391.0,M4V,11.106248
101,K2-148,13.05,407.0,K7V,7.56916
102,Kepler-68,8.588,440.0,G1V,2.937869
104,COROT-7,11.73,489.0,K0V,5.8505874
106,Kepler-411,12.5,499.4,K3V,6.574889
107,K2-381,13.01,505.0,K2,7.0606756
108,K2-285,12.03,508.0,K2V,6.0678134
109,K2-32,12.31,510.0,G9V,6.3392816
111,K2-352,11.12,577.0,G2V,4.8812532
114,K2-37,12.52,590.0,G3V,6.232873
115,K2-58,12.13,596.0,K2V,5.820901
117,K2-38,11.34,630.0,G3V,4.91043
118,WASP-47,11.9,652.0,G9V,5.395894
119,K2-368,13.54,674.0,K3,6.963833
120,HAT-P-13,10.62,698.0,G4,3.967855
121,Kepler-19,15.178,717.0,G,8.467537
122,Kepler-296,12.6,737.113,K7V + M1V[110],5.829462
123,Kepler-454,11.57,753.0,G,4.753157
124,Kepler-25,11.0,799.0,F[112],4.0543985
125,Kepler-114,13.7,846.0,K,6.6302805
126,Kepler-54,16.3,886.0,M,9.129963
127,Kepler-20,12.51,950.0,G8V,5.188514
128,K2-19,13.002,976.0,K0V[116] or G9V[117],5.6218834
131,Kepler-48,13.04,1000.0,K,5.607132
133,Kepler-49,15.5,1015.0,K,8.0348015
134,Kepler-65,11.018,1019.0,F6IV,3.544261
135,Kepler-52,15.5,1049.0,K,7.963255
136,K2-314,11.4,1059.0,G8IV/V,3.8426514
137,K2-219,12.09,1071.0,G2,4.508185
140,K2-187,12.864,1090.0,G?V,5.244
142,Kepler-26,16.0,1100.0,M0V,8.360168
144,Kepler-81,15.56,1136.0,K?V,7.8502407
146,Kepler-80,14.804,1218.0,M0V[125],6.942896
149,Kepler-88,13.5,1243.0,G8IV,5.5947766
151,Kepler-32,16.0,1301.1,M1V,7.995579
152,Kepler-83,16.51,1306.0,K7V,8.4974165
153,TOI-1338,11.72,1318.0,"F8 
M",3.6875553
155,Kepler-169,12.186,1326.0,K2V,4.140414
158,Kepler-18,13.549,1430.0,G7V,5.339452
159,Kepler-106,12.882,1449.0,G1V,4.6437902
160,Kepler-92,11.6,1463.0,G1IV,3.340911
161,Kepler-450,11.684,1487.0,F,3.3895779
162,Kepler-89,12.4,1580.0,F8V,3.9738464
164,K2-282,14.04,1638.0,G?V,5.5355625
165,Kepler-107,12.7,1714.0,G2V[131],4.0970774
167,Kepler-55,16.3,1888.0,K,7.4871216
171,Kepler-289,12.9,2283.0,G0V,3.6746025
172,Kepler-85,15.0,2495.0,G,5.5817795
176,Kepler-51,15.0,2610.0,G?V,5.4839296
178,Kepler-9,13.91,2754.0,G2V,4.2773123
179,Kepler-23,14.0,2790.0,G5V,4.3391113
180,Kepler-46,15.3,2795.0,K?V,5.6352234
181,Kepler-305,15.812,2833.0,K,6.1179
184,Kepler-82,15.158,2949.0,G?V,5.3767586
186,Kepler-56,13.0,3060.0,K?III,3.138525
187,Kepler-350,13.8,3121.0,F,3.8956633
189,Kepler-160,13.101,3140.0,G2V,3.183484
191,Kepler-58,15.3,3161.0,G1V,5.3680105
192,Kepler-79,13.914,3329.0,F,3.869563
193,Kepler-60,13.959,3343.0,G,3.9054499
195,Kepler-279,13.7,3383.0,F,3.6206217
197,Kepler-47,15.178,3442.0,"G 
M",5.061079
198,Kepler-292,13.97,3446.0,K0V,3.8505564
199,Kepler-27,15.855,3500.0,G5V,5.701792
201,Kepler-276,15.368,3734.0,G?V,5.0742607
202,Kepler-24,14.925,3910.0,G1V,4.531248
203,Kepler-87,15.0,4021.0,G4IV,4.5454617
204,Kepler-33,13.988,4090.0,G1IV,3.4965153
205,Kepler-282,15.2,4363.0,G?V,4.568206
207,Kepler-53,16.0,4455.0,G?V,5.322893
208,Kepler-30,15.403,4560.0,G6V,4.675308
209,Kepler-84,14.764,4700.0,G3IV,3.970643
210,Kepler-385,15.76,4900.0,F8V,4.876152
211,Kepler-31,15.5,5429.0,F,4.3935328
212,Kepler-238,15.084,5867.0,G5IV,3.8090515
